parish_name,parish_code,Average_monthly_rental_charges
Bonfim,11A131202,273.24
Campanhã,11A131203,186.95
Paranhos,11A131210,279.29
Ramalde,11A131211,303.52
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",11A131216,387.96
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",11A131217,263.75
União das freguesias de Lordelo do Ouro e Massarelos,11A131218,305.10
Ajuda,170110601,271.61
Alcântara,170110602,308.09
Alvalade,170110654,381.83
Areeiro,170110655,410.26
Arroios,170110656,372.80
Avenidas Novas,170110657,421.45
Beato,170110607,255.74
Belém,170110658,431.90
Benfica,170110608,324.95
Campo de Ourique,170110659,344.07
Campolide,170110610,325.87
Carnide,170110611,317.42
Estrela,170110660,376.04
Lumiar,170110618,428.16
Marvila,170110621,212.79
Misericórdia,170110661,321.15
Olivais,170110633,330.69
Parque das Nações,170110662,496.87
Penha de França,170110663,330.75
Santa Clara,170110664,280.87
Santa Maria Maior,170110665,273.20
Santo António,170110666,386.26
São Domingos de Benfica,170110639,412.61
São Vicente,170110667,285.35
