Parish_name,parish_id,area
Bonfim,11A131202,
Campanhã,11A131203,1.9
Paranhos,11A131210,3.3
Ramalde,11A131211,2.5
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",11A131216,1
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",11A131217,
União das freguesias de Lordelo do Ouro e Massarelos,11A131218,1.6
Ajuda,170110601,0
Alcântara,170110602,1.2
Alvalade,170110654,
Areeiro,170110655,
Arroios,170110656,
Avenidas Novas,170110657,
Beato,170110607,
Belém,170110658,1.5
Benfica,170110608,0
Campo de Ourique,170110659,0
Campolide,170110610,
Carnide,170110611,
Estrela,170110660,
Lumiar,170110618,22.2
Marvila,170110621,0
Misericórdia,170110661,
Olivais,170110633,0
Parque das Nações,170110662,
Penha de França,170110663,
Santa Clara,170110664,
Santa Maria Maior,170110665,0
Santo António,170110666,
São Domingos de Benfica,170110639,
São Vicente,170110667,
