parish_name,parish_id,on_foot,Bus_users,Tram_or_underground,Train,Collective_transportation,Light_vehicle_driver,Light_vehicle_passenger,bicycle,Other
Ajuda,110601,1743,3716,259,143,98,2572,569,69,56
Alcântara,110602,1727,2657,226,135,100,2092,396,41,39
Aldoar,131201,1615,2180,0,69,117,3552,920,62,27
Alto do Pina,110603,1178,942,990,86,99,2264,588,24,46
Alvalade,110604,1201,619,835,63,96,1847,341,33,38
Ameixoeira,110605,769,2275,250,33,59,2129,509,48,33
Anjos,110606,1417,802,1374,109,52,1209,228,31,50
Beato,110607,1460,2873,489,124,109,2236,445,33,49
Benfica,110608,3428,7241,1697,738,309,8787,1603,107,132
Bonfim,131202,6129,3676,0,199,133,4836,957,72,69
Campanhã,131203,4932,8329,3,286,360,5245,1520,116,97
Campo Grande,110609,1429,1246,757,97,98,2011,439,31,33
Campolide,110610,2158,3184,173,307,118,2329,503,69,60
Carnide,110611,1787,3476,1116,116,234,4292,1029,85,54
Castelo,110612,72,76,30,8,1,66,16,3,1
Cedofeita,131204,5175,3353,0,197,122,4813,930,72,83
Charneca,110613,1067,3396,109,49,240,960,276,31,30
Coração de Jesus,110614,816,550,363,20,12,532,103,21,19
Encarnação,110615,692,272,347,54,17,262,72,15,27
Foz do Douro,131205,1177,1351,0,19,75,3807,954,35,34
Graça,110616,1096,850,515,81,35,855,172,18,30
Lapa,110617,1449,923,279,57,59,1716,358,40,35
Lordelo do Ouro,131206,2608,4306,2,57,212,4874,1126,99,63
Lumiar,110618,2901,4779,2528,130,367,12111,2840,148,131
Madalena,110619,74,46,45,7,4,29,7,0,2
Mártires,110620,55,27,49,8,0,38,14,1,3
Marvila,110621,3397,11275,1383,470,518,4831,1111,84,153
Massarelos,131207,1551,1213,2,43,74,1442,282,32,16
Mercês,110622,945,586,300,67,29,660,139,17,24
Miragaia,131208,561,574,0,19,20,225,45,3,12
Nevogilde,131209,430,446,0,4,32,1986,514,16,11
Nossa Senhora de Fátima,110623,2626,1357,818,117,135,3050,664,65,54
Paranhos,131210,7158,8189,0,132,326,10378,2339,181,146
Pena,110624,1055,857,500,68,30,617,127,20,24
Penha de França,110625,1994,1678,871,129,83,2018,385,40,47
Prazeres,110626,1031,1399,147,71,58,1392,367,31,48
Ramalde,131211,3972,6083,7,427,288,9398,2382,165,106
Sacramento,110627,192,60,108,21,4,87,19,4,7
Santa Catarina,110628,778,429,413,69,22,341,71,18,15
Santa Engrácia,110629,643,1210,93,70,48,891,172,15,25
Santa Isabel,110630,1319,713,450,50,34,1198,238,36,34
Santa Justa,110631,138,67,94,9,7,37,2,0,1
Santa Maria de Belém,110632,1113,1367,176,128,54,1944,439,39,35
Santa Maria dos Olivais,110633,4153,7898,1328,340,577,8599,1791,147,138
Santiago,110634,138,78,90,9,8,110,27,4,5
Santo Condestável,110635,2896,2369,584,128,112,2711,554,97,59
Santo Estêvão,110636,297,349,103,25,13,161,26,7,10
Santo Ildefonso,131212,2312,1367,0,77,54,1189,226,15,23
Santos-o-Velho,110637,670,556,142,60,26,522,114,17,16
São Cristóvão e São Lourenço,110638,308,158,182,36,7,128,18,2,19
São Domingos de Benfica,110639,2767,4298,2386,256,270,9012,1766,143,128
São Francisco Xavier,110640,665,845,28,41,60,2697,661,35,25
São João,110641,2267,2657,903,146,106,2415,553,44,63
São João de Brito,110642,1379,1343,692,83,103,2778,588,45,48
São João de Deus,110643,1578,693,774,77,101,2104,428,35,26
São Jorge de Arroios,110644,3102,1733,1729,168,96,2352,444,39,67
São José,110645,603,380,315,59,19,282,72,6,18
São Mamede,110646,1041,514,403,41,27,1034,248,11,31
São Miguel,110647,291,290,84,32,8,108,16,3,3
São Nicolau,131213,702,524,0,31,21,191,45,9,8
São Nicolau,110648,200,97,145,24,4,99,14,3,10
São Paulo,110649,677,514,340,74,16,294,63,16,17
São Sebastião da Pedreira,110650,1113,403,390,29,37,1089,239,14,15
São Vicente de Fora,110651,691,620,177,62,20,453,106,12,28
Sé,131214,1089,722,0,30,40,304,77,19,11
Sé,110652,156,117,121,26,4,131,28,8,10
Socorro,110653,544,234,348,56,14,164,46,9,12
Vitória,131215,606,433,0,16,23,172,35,17,2
