parish_name,parish_id,no_of_children_less_than_6_yrs
Aldoar,131201,920
Bonfim,131202,1225
Campanhã,131203,2093
Cedofeita,131204,1059
Foz do Douro,131205,617
Lordelo do Ouro,131206,1619
Massarelos,131207,367
Miragaia,131208,86
Nevogilde,131209,403
Paranhos,131210,2333
Ramalde,131211,2828
Santo Ildefonso,131212,408
São Nicolau,131213,117
Sé,131214,189
Vitória,131215,114
Ajuda,110601,1060
Alcântara,110602,959
Alto do Pina,110603,697
Alvalade,110604,591
Ameixoeira,110605,1321
Anjos,110606,551
Beato,110607,916
Benfica,110608,2232
Campo Grande,110609,809
Campolide,110610,1018
Carnide,110611,2098
Castelo,110612,13
Charneca,110613,1186
Coração de Jesus,110614,198
Encarnação,110615,134
Graça,110616,346
Lapa,110617,682
Lumiar,110618,3608
Madalena,110619,41
Mártires,110620,16
Marvila,110621,2976
Mercês,110622,297
Nossa Senhora de Fátima,110623,983
Pena,110624,246
Penha de França,110625,751
Prazeres,110626,675
Sacramento,110627,59
Santa Catarina,110628,213
Santa Engrácia,110629,344
Santa Isabel,110630,505
Santa Justa,110631,55
Santa Maria de Belém,110632,645
Santa Maria dos Olivais,110633,4184
Santiago,110634,18
Santo Condestável,110635,1043
Santo Estêvão,110636,69
Santos-o-Velho,110637,274
São Cristóvão e São Lourenço,110638,42
São Domingos de Benfica,110639,2269
São Francisco Xavier,110640,728
São João,110641,922
São João de Brito,110642,643
São João de Deus,110643,645
São Jorge de Arroios,110644,1106
São José,110645,155
São Mamede,110646,417
São Miguel,110647,57
São Nicolau,110648,54
São Paulo,110649,162
São Sebastião da Pedreira,110650,453
São Vicente de Fora,110651,211
Sé,110652,57
Socorro,110653,210
