parish_name,parish code,avg_commute_time
Aldoar,131201,19.82
Bonfim,131202,20.41
Campanhã,131203,23.03
Cedofeita,131204,19.31
Foz do Douro,131205,18.53
Lordelo do Ouro,131206,20.05
Massarelos,131207,19.58
Miragaia,131208,21.13
Nevogilde,131209,18.38
Paranhos,131210,20.64
Ramalde,131211,19.45
Santo Ildefonso,131212,19.85
São Nicolau,131213,20.55
Sé,131214,20.50
Vitória,131215,19.39
Ajuda,110601,25.48
Alcântara,110602,23.72
Alto do Pina,110603,21.58
Alvalade,110604,19.94
Ameixoeira,110605,27.87
Anjos,110606,23.19
Beato,110607,25.45
Benfica,110608,24.69
Campo Grande,110609,20.30
Campolide,110610,22.20
Carnide,110611,23.10
Castelo,110612,25.65
Charneca,110613,28.96
Coração de Jesus,110614,20.31
Encarnação,110615,20.99
Graça,110616,24.90
Lapa,110617,19.94
Lumiar,110618,22.89
Madalena,110619,21.96
Mártires,110620,21.21
Marvila,110621,25.91
Mercês,110622,21.68
Nossa Senhora de Fátima,110623,19.36
Pena,110624,23.57
Penha de França,110625,24.44
Prazeres,110626,21.42
Sacramento,110627,22.33
Santa Catarina,110628,22.42
Santa Engrácia,110629,25.78
Santa Isabel,110630,19.63
Santa Justa,110631,22.04
Santa Maria de Belém,110632,22.52
Santa Maria dos Olivais,110633,24.05
Santiago,110634,26.53
Santo Condestável,110635,21.52
Santo Estêvão,110636,25.45
Santos-o-Velho,110637,22.81
São Cristóvão e São Lourenço,110638,24.20
São Domingos de Benfica,110639,21.18
São Francisco Xavier,110640,20.82
São João,110641,25.65
São João de Brito,110642,20.76
São João de Deus,110643,19.06
São Jorge de Arroios,110644,21.18
São José,110645,21.45
São Mamede,110646,18.79
São Miguel,110647,23.15
São Nicolau,110648,28.01
São Paulo,110649,23.04
São Sebastião da Pedreira,110650,17.50
São Vicente de Fora,110651,24.93
Sé,110652,22.58
Socorro,110653,21.60
